,hl_f,ol_f,k_f,score
56,relu,tanh,RMSprop,0.507499993
57,relu,tanh,Adam,0.507499993
59,relu,tanh,Adamax,0.507499993
60,relu,relu,SGD,0.507499993
63,relu,relu,Adagrad,0.507499993
72,relu,PReLU,Adam,0.507499993
81,LeakyReLU,tanh,RMSprop,0.507499993
82,LeakyReLU,tanh,Adam,0.507499993
84,LeakyReLU,tanh,Adamax,0.507499993
86,LeakyReLU,relu,RMSprop,0.507499993
88,LeakyReLU,relu,Adagrad,0.507499993
91,LeakyReLU,LeakyReLU,RMSprop,0.507499993
92,LeakyReLU,LeakyReLU,Adam,0.507499993
95,LeakyReLU,PReLU,SGD,0.507499993
106,PReLU,tanh,RMSprop,0.507499993
115,PReLU,LeakyReLU,SGD,0.507499993
118,PReLU,LeakyReLU,Adagrad,0.507499993
122,PReLU,PReLU,Adam,0.507499993
124,PReLU,PReLU,Adamax,0.507499993
1,sigmoid,sigmoid,RMSprop,0.492500007
2,sigmoid,sigmoid,Adam,0.492500007
3,sigmoid,sigmoid,Adagrad,0.492500007
5,sigmoid,tanh,SGD,0.492500007
8,sigmoid,tanh,Adagrad,0.492500007
11,sigmoid,relu,RMSprop,0.492500007
12,sigmoid,relu,Adam,0.492500007
14,sigmoid,relu,Adamax,0.492500007
15,sigmoid,LeakyReLU,SGD,0.492500007
17,sigmoid,LeakyReLU,Adam,0.492500007
19,sigmoid,LeakyReLU,Adamax,0.492500007
20,sigmoid,PReLU,SGD,0.492500007
24,sigmoid,PReLU,Adamax,0.492500007
34,tanh,tanh,Adamax,0.492500007
36,tanh,relu,RMSprop,0.492500007
37,tanh,relu,Adam,0.492500007
39,tanh,relu,Adamax,0.492500007
40,tanh,LeakyReLU,SGD,0.492500007
41,tanh,LeakyReLU,RMSprop,0.492500007
42,tanh,LeakyReLU,Adam,0.492500007
43,tanh,LeakyReLU,Adagrad,0.492500007
44,tanh,LeakyReLU,Adamax,0.492500007
45,tanh,PReLU,SGD,0.492500007
46,tanh,PReLU,RMSprop,0.492500007
48,tanh,PReLU,Adagrad,0.492500007
55,relu,tanh,SGD,0.492500007
61,relu,relu,RMSprop,0.492500007
62,relu,relu,Adam,0.492500007
65,relu,LeakyReLU,SGD,0.492500007
66,relu,LeakyReLU,RMSprop,0.492500007
67,relu,LeakyReLU,Adam,0.492500007
70,relu,PReLU,SGD,0.492500007
71,relu,PReLU,RMSprop,0.492500007
80,LeakyReLU,tanh,SGD,0.492500007
85,LeakyReLU,relu,SGD,0.492500007
87,LeakyReLU,relu,Adam,0.492500007
90,LeakyReLU,LeakyReLU,SGD,0.492500007
93,LeakyReLU,LeakyReLU,Adagrad,0.492500007
94,LeakyReLU,LeakyReLU,Adamax,0.492500007
96,LeakyReLU,PReLU,RMSprop,0.492500007
97,LeakyReLU,PReLU,Adam,0.492500007
99,LeakyReLU,PReLU,Adamax,0.492500007
105,PReLU,tanh,SGD,0.492500007
107,PReLU,tanh,Adam,0.492500007
110,PReLU,relu,SGD,0.492500007
111,PReLU,relu,RMSprop,0.492500007
112,PReLU,relu,Adam,0.492500007
114,PReLU,relu,Adamax,0.492500007
116,PReLU,LeakyReLU,RMSprop,0.492500007
117,PReLU,LeakyReLU,Adam,0.492500007
120,PReLU,PReLU,SGD,0.492500007
121,PReLU,PReLU,RMSprop,0.492500007
